Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GopayOpenDenomSuites,,,,2023-06-14 13:58:00,2023-06-14 13:58:36,35.964s,FAILED
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 13:58:01,2023-06-14 13:58:09,8.786s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:58:02,2023-06-14 13:58:03,0.128s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 13:58:03,2023-06-14 13:58:03,0.025s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 13:58:03,2023-06-14 13:58:03,0.024s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 13:58:03,2023-06-14 13:58:03,0.013s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 13:58:03,2023-06-14 13:58:04,0.885s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 13:58:04,2023-06-14 13:58:09,5.013s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.146s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.001s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.001s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.628s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.038s,PASSED
"token = getElementPropertyValue(tokenResponse, ""accessToken"")",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.056s,PASSED
"println(""Token is : "" + token)",,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.001s,PASSED
TOKEN = token,,,,2023-06-14 13:58:09,2023-06-14 13:58:09,0.001s,PASSED
,,,,,,,
Test Cases/InquiryGopayCase(Saving),,,,2023-06-14 13:58:09,2023-06-14 13:58:17,7.427s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 13:58:11,2023-06-14 13:58:11,0.005s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 13:58:11,2023-06-14 13:58:11,0.004s,PASSED
