Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ShopeePayOpenDenomSuites,,,,2023-06-14 14:24:22,2023-06-14 14:24:56,34.468s,FAILED
,,,,,,,
Test Cases/GetTokenCase,,,,2023-06-14 14:24:23,2023-06-14 14:24:33,9.942s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 14:24:24,2023-06-14 14:24:24,0.065s,PASSED
"formatter = DateTimeFormatter.ofPattern(""yyyy-MM-dd'T'HH:mm:ssxxx"")",,,,2023-06-14 14:24:24,2023-06-14 14:24:24,0.028s,PASSED
formattedTimestamp = currentTime.format(formatter),,,,2023-06-14 14:24:24,2023-06-14 14:24:24,0.006s,PASSED
"println(""Timestamp: "" + formattedTimestamp)",,,,2023-06-14 14:24:24,2023-06-14 14:24:24,0.009s,PASSED
TIMESTAMP = formattedTimestamp,,,,2023-06-14 14:24:24,2023-06-14 14:24:25,0.872s,PASSED
"signatureResponse = sendRequest(findTestObject(""Postman/auth/GET SIGNATURE""))",,,,2023-06-14 14:24:25,2023-06-14 14:24:30,4.572s,PASSED
"signature = getElementPropertyValue(signatureResponse, ""signature"")",,,,2023-06-14 14:24:30,2023-06-14 14:24:30,0.136s,PASSED
"println(""signature is :"" + signature)",,,,2023-06-14 14:24:30,2023-06-14 14:24:30,0.003s,PASSED
AUTH_SIGNATURE = signature,,,,2023-06-14 14:24:30,2023-06-14 14:24:30,0.002s,PASSED
"tokenResponse = sendRequest(findTestObject(""Postman/auth/GET TOKEN"", [""TIMESTAMP1"":TIMESTAMP, ""AUTH_SIGNATURE1"":AUTH_SIGNATURE]))",,,,2023-06-14 14:24:30,2023-06-14 14:24:32,2.657s,PASSED
"verifyResponseStatusCode(tokenResponse, 200)",,,,2023-06-14 14:24:32,2023-06-14 14:24:33,0.043s,PASSED
"token = getElementPropertyValue(tokenResponse, ""accessToken"")",,,,2023-06-14 14:24:33,2023-06-14 14:24:33,0.116s,PASSED
"println(""Token is : "" + token)",,,,2023-06-14 14:24:33,2023-06-14 14:24:33,0.002s,PASSED
TOKEN = token,,,,2023-06-14 14:24:33,2023-06-14 14:24:33,0.003s,PASSED
,,,,,,,
Test Cases/InquiryShopeePayCase(Saving),,,,2023-06-14 14:24:33,2023-06-14 14:24:38,5.799s,PASSED
currentTime = ZonedDateTime.now(ZoneOffset.ofHours(7)),,,,2023-06-14 14:24:34,2023-06-14 14:24:34,0.004s,PASSED
"formatter = DateTimeFormatter.ofPattern(""MMdd"")",,,,2023-06-14 14:24:34,2023-06-14 14:24:34,0.003s,PASSED
